date_mutation,valeur_fonciere,code_postal,section,type_local,surface_relle_bati,nombre_pieces_principales,surface_terrain
2014-02-06,155000.0,33000,KX,Appartement,32.0,2.0,
2014-06-11,286000.0,33000,LY,Maison,105.0,4.0,132.0
2014-10-31,200000.0,33000,HW,Maison,30.0,1.0,
2014-10-31,200000.0,33000,HW,Appartement,32.0,2.0,
2014-10-31,200000.0,33000,HW,Appartement,28.0,2.0,
2015-07-24,545000.0,33000,LT,Maison,159.0,6.0,245.0
2015-09-25,212000.0,33000,IW,Appartement,68.0,3.0,106.0
2015-06-29,210000.0,33000,DX,Maison,43.0,2.0,82.0
2015-10-09,187000.0,33000,HD,Appartement,47.0,2.0,
2015-10-19,275000.0,33000,IH,Appartement,92.0,4.0,212.0
2015-10-19,275000.0,33000,IH,Appartement,45.0,2.0,212.0
2016-02-01,770000.0,33000,LV,Maison,197.0,7.0,327.0
2016-02-09,162500.0,33000,IU,Appartement,64.0,3.0,
2016-02-17,80000.0,33000,IU,Appartement,28.0,1.0,
2016-08-05,148000.0,33000,IU,Appartement,67.0,3.0,
2016-10-03,310000.0,33000,KE,Appartement,75.0,3.0,
2016-12-28,261100.0,33000,OW,Appartement,55.0,2.0,
2017-01-16,191000.0,33000,IU,Appartement,50.0,2.0,
2017-06-09,823026.0,33000,LP,Maison,196.0,6.0,233.0
2017-09-20,362000.0,33000,IU,Appartement,109.0,4.0,
2017-10-12,150000.0,33000,KX,Appartement,28.0,1.0,
2017-11-10,360770.0,33000,IW,Appartement,68.0,3.0,106.0
2017-11-28,154020.0,33000,IU,Appartement,39.0,2.0,
2017-06-22,165500.0,33000,HB,Appartement,35.0,2.0,
2017-12-12,490000.0,33000,IO,Maison,90.0,4.0,227.0
2018-01-22,450000.0,33000,LN,Appartement,28.0,2.0,159.0
2018-01-22,450000.0,33000,LN,Appartement,66.0,3.0,159.0
2018-02-19,143500.0,33000,IU,Appartement,29.0,1.0,
2018-04-27,146800.0,33000,KX,Appartement,31.0,1.0,
2018-08-02,3350000.0,33000,KT,Appartement,77.0,2.0,853.0
2018-08-31,262000.0,33000,IU,Appartement,75.0,4.0,
2018-04-23,340000.0,33000,DS,Appartement,15.0,1.0,
2018-04-23,340000.0,33000,DS,Appartement,30.0,2.0,
2018-04-23,340000.0,33000,DS,Appartement,19.0,1.0,
2018-09-19,215000.0,33000,HD,Appartement,47.0,1.0,
2018-09-28,221000.0,33000,HD,Appartement,48.0,1.0,
2019-03-12,247000.0,33000,IU,Appartement,64.0,3.0,
2019-03-22,300000.0,33000,KI,Appartement,46.0,2.0,
2019-05-10,396500.0,33000,KY,Maison,79.0,4.0,154.0
2019-02-18,498750.0,33000,IS,Maison,107.0,4.0,154.0
2014-04-15,303000.0,33000,MA,Appartement,40.0,2.0,224.0
2014-04-15,303000.0,33000,MA,Appartement,22.0,2.0,224.0
2014-04-15,303000.0,33000,MA,Appartement,40.0,2.0,224.0
2014-09-25,95000.0,33000,MA,Appartement,112.0,3.0,
2014-11-06,84300.0,33000,PC,Appartement,29.0,2.0,
2014-02-17,85000.0,33000,IA,Appartement,27.0,1.0,
2014-12-16,120000.0,33000,IA,Appartement,41.0,1.0,
2015-03-03,415000.0,33000,LX,Appartement,61.0,2.0,135.0
2015-11-18,136000.0,33000,PC,Appartement,30.0,2.0,
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,39.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
